name,type,sql,from,to
Get data ,TableInput,"call SP_GET_confluence_data ('${database}','${sourceName}','${lastRunDate}')",['Get data '],['XML Output']
XML Output,XMLOutput,,['Select values for URL'],['REST Client']
Copy rows to result,RowsToResult,,['REST Client'],['JSON Input']
Get Variables,GetVariable,,['JSON Input'],['Select values']
Get Variables From Job,GetVariable,,['Select values'],['Set Variables']
JSON Input,JsonInput,,['Text file input'],['Get Variables']
Java Script Value,ScriptValueMod,,['Text file input'],['Get Variables']
REST Client,Rest,,['Get Variables From Job'],['Java Script Value']
Select values,SelectValues,,['Java Script Value'],['Select values for URL']
Select values for URL,SelectValues,,['Set Variables'],['Text file input']
Set Variables,SetVariable,,['Get Variables'],['Copy rows to result']
Text file input,TextFileInput,,['Select values '],['REST Client']
Create Json Data ,ScriptValueMod,,['Get rows from result'],['Create Json Data ']
Get rows from result,RowsFromResult,,['Create Json Data '],['Select values ']
