name,type,sql,from,to
Convert email_address to MD5 hash value,CheckSum,,['Get staged data'],['Convert email_address to MD5 hash value']
Get staged data,TableInput,"SELECT DISTINCT 
	 email_addr
	,MIN(email_auth) AS email_auth
    ,MIN(email_valid) AS email_valid
    ,domain
	,canadian_flg
    ,0 AS deliverable_ind
    ,email_source
FROM 
     emails_stg
WHERE email_addr NOT IN (SELECT email_address FROM ${database}.wt_email_d)
GROUP BY  email_addr, domain, canadian_flg",['Convert email_address to MD5 hash value'],['Mail Validator']
Mail Validator,MailValidator,,['Mail Validator'],['Select values']
Select values,SelectValues,,['Select values'],['write_email_record']
write_email_record,TextFileOutput,,['Get Data from doms'],['Text file output']
Get Data from doms,TableInput,"SELECT 
	 LOWER(email_addr) AS email_addr
    ,email_opt_ind
    ,email_valid_ind
    ,SUBSTRING_INDEX(email_addr, '@', -1) AS domain
    ,(CASE
        WHEN
            SUBSTR(SUBSTRING_INDEX(email_addr, '@', -1),
                - 2) = 'ca'
        THEN
            'Y'
        ELSE 'N'
     END) canadian_flg
    ,(CASE
        WHEN email_valid_ind = 1 THEN 'Y'
        ELSE 'N'
     END) AS email_valid
    ,(CASE
        WHEN email_opt_ind = 1 THEN 'Y'
        ELSE 'N'
     END) AS email_auth
    ,'CDS' AS email_source
    ,e.update_date
    ,client_cd
    ,customer_id
FROM
    emails e
    INNER JOIN
    ${eHub_database}_data.client_dimensions cd ON e.client_id = cd.client_id 

WHERE cd.instance_flag = 'P' AND cd.client_cd ${ehubclientcodes} AND e.update_date > '${update_date}'",['Filter rows'],['Load staged ehub_email_individual_bridge hold table']
Text file output,TextFileOutput,,['Get staged data'],['Filter rows']
Filter rows,FilterRows,,['Filter rows'],['create_email_individual_bridge_fact_load_file']
Get staged data,TableInput,"SELECT
 IFNULL(id.individual_sk,-1) as individual_sk
,IFNULL(em.email_sk,-1) as email_sk
,s.customer_id
,email_addr
,client_cd
,s.update_date
,s.email_opt_ind
,s.email_valid_ind
,s.domain
,s.canadian_flg
,s.email_source
,s.email_auth
,s.email_valid
FROM emails_stg s
LEFT JOIN source_xref_stg sx on sx.system_code='EHUB' and sx.publisher_code = s.client_cd and sx.system_id = s.customer_id 
LEFT JOIN ${database}.wt_individual_d id on id.universal_id=sx.universal_id
INNER JOIN ${database}.wt_email_d em on em.email_address = s.email_addr",['Get staged data'],['Replace Null values']
Load staged ehub_email_individual_bridge hold table,TableOutput,,['Replace Null values'],['Convert email_address to MD5 hash value']
create_email_individual_bridge_fact_load_file,TextFileOutput,,['Convert email_address to MD5 hash value'],['Mail Validator']
Convert email_address to MD5 hash value,CheckSum,,['Mail Validator'],['Replace in string']
Execute SQL script,ExecSQL,"SET @email_validStream = '?';
SET @email_authStream = '?';

UPDATE wt_email_d
	SET email_valid = IF(@email_validStream = 'N',@email_validStream,email_valid),
	email_auth = IF(@email_authStream = 'N',@email_authStream,email_auth)
WHERE email_address =  '?'",['Replace in string'],['Select values']
Get staged data,TableInput,"SELECT DISTINCT 
	 email_addr
	,MIN(email_auth) AS email_auth
    ,MIN(email_valid) AS email_valid
    ,domain
	,canadian_flg
    ,0 AS deliverable_ind
    ,email_source
FROM 
     emails_stg
GROUP BY  email_addr, domain, canadian_flg",['Select values'],['Insert into wt_email_d']
Insert into wt_email_d,TableOutput,,['Insert into wt_email_d'],['Execute SQL script']
Mail Validator,MailValidator,,['Get email_individual_bridge filenames'],['Write to log']
Replace Null values,IfNull,,['Write to log'],['Copy rows to result']
Replace in string,ReplaceString,,['Update wt_cancel_reason_d'],['Insert into wt_cancel_reason_d']
Select values,SelectValues,,['Get Data from eHub'],['Update wt_cancel_reason_d']
Copy rows to result,RowsToResult,,['Get Data from DL'],['Replace Null values']
Get email_individual_bridge filenames,GetFileNames,,['Replace Null values'],['Select columns comes from DL']
Write to log,WriteToLog,,['Select columns comes from DL'],['Update wt_card_type_d']
Get Data from eHub,TableInput,"SELECT
   'EHUB'AS source_system_cd
  ,'doms_staging.subscriptions' AS table_name
  ,'reason_id' AS system_field_name 
  ,CONCAT(TRIM(CAST(rd.client_id AS CHAR(10))),':',TRIM(CAST(rd.reason_id AS CHAR(10)))) AS cancel_reason_cd
  ,IFNULL(TRIM(rd.reason_type),'NA') AS cancel_reason_name
  ,IFNULL(TRIM(rd.reason_desc), 'NA') AS cancel_reason_desc
  ,'EHUB' AS modified_by
FROM client_dimensions cd
INNER JOIN reason_dimensions rd ON rd.client_id = cd.client_id 
WHERE cd.instance_flag ='P' AND cd.client_cd ${ehubclientcodes}",['Update wt_card_type_d'],['Insert Into wt_card_type_d']
Insert into wt_cancel_reason_d,TableOutput,,['Get staged data'],['Update wt_components_d']
Update wt_cancel_reason_d,Update,,['Update wt_components_d'],['Insert into wt_components_d']
Get Data from DL,TableInput,"SELECT
  UPPER(TRIM(source_system_cd)) AS source_system_cd
, TRIM(table_name) AS table_name
, TRIM(system_field_name) AS system_field_name
, IF(system_cd=' ',system_cd,TRIM(system_cd)) AS system_cd
, TRIM(system_name) AS system_name
, TRIM(system_desc) AS system_desc
, TRIM(modified_by) AS modified_by
, TRIM(modified_dt) AS modified_dt
FROM lt_card_type
WHERE LENGTH(source_system_cd) > 0  -- this condition has temporarily been added because source contains bad data.",['Update wt_digital_gift_certificate_d'],['Insert into wt_digital_gift_certificate_d']
Insert Into wt_card_type_d,TableOutput,,['Get staged data'],['Update wt_digital_gift_certificate_d']
Replace Null values,IfNull,,['Get staged data'],['Update wt_digital_products_d']
