name,type,sql,from,to
Filter rows,FilterRows,,['Filter rows'],['Load staged servpf_email_individual_bridge hold table']
Get staged data,TableInput,"SELECT 
 	 s.publisher_cd
	,IFNULL(id.individual_sk,-1) AS individual_sk
	,s.accnt_nbr
	,s.email_address
    ,IFNULL(e.email_sk,-1) AS email_sk
    ,s.update_dt
FROM lt_servpf_email_stg AS s
  LEFT OUTER JOIN source_xref_stg AS sx ON  s.publisher_cd = sx.publisher_code AND s.accnt_nbr = sx.system_id AND sx.system_code = 'SERVPF'
  LEFT OUTER JOIN ${database}.wt_individual_d AS id ON sx.universal_id = id.universal_id AND id.curr_rec_ind = 1
  LEFT OUTER JOIN  ${database}.wt_email_d AS e on s.email_address = e.email_address",['Get staged data'],['Filter rows']
Load staged servpf_email_individual_bridge hold table,TableOutput,,['Filter rows'],['create_email_individual_bridge_fact_load_file']
create_email_individual_bridge_fact_load_file,TextFileOutput,,['Get staged data'],['create_email_email_SPF_fact_load_file']
Get staged data,TableInput,"SELECT 
e.email_sk
FROM lt_servpf_email_stg AS s
INNER JOIN  ${database}.wt_email_d AS e on s.email_address = e.email_address
WHERE e.email_sk NOT IN(SELECT email_sk FROM ${database}.wt_SPF_email_d)",['Get staged data'],['Convert email_address to MD5 hash value']
create_email_email_SPF_fact_load_file,TextFileOutput,,['Convert email_address to MD5 hash value'],['Mail Validator']
Convert email_address to MD5 hash value,CheckSum,,['Mail Validator'],['Select values']
Get staged data,TableInput,"SELECT DISTINCT 
     email_address
    ,email_auth
    ,domain
    ,canadian_flg
    ,0 AS deliverable_ind
    ,email_source
FROM
     lt_servpf_email_stg
WHERE email_address NOT IN (SELECT email_address FROM ${database}.wt_email_d)",['Select values'],['write_email_record']
Mail Validator,MailValidator,,['Select values'],['If field value is null']
Select values,SelectValues,,['Get Data from lt_servpf_email'],['Select values']
write_email_record,TextFileOutput,,['If field value is null'],['Text file output']
Get Data from lt_servpf_email,TableInput,"SELECT	
DISTINCT
 	 email_address
	,in_house_permission_flag AS email_auth
    ,email_active_flag AS email_valid
 	,split(email_address, '@')[2] AS domain
	,(CASE 
		WHEN SUBSTR(split(email_address, '@')[2], -2) = 'ca'
			THEN 'Y'
		ELSE 'N'
		END) canadian_flg
    ,'CDS' AS email_source
    ,publisher_cd
    ,accnt_nbr
	,update_dt
FROM 
     hrst_data.lt_servpf_email
WHERE 
        email_thru_dt = '2099-12-31'
	AND 
		update_dt > TIMESTAMP '${update_date}'
	AND 
		publisher_cd ${clientcodes} AND LENGTH(email_address) > 0",['Get staged data'],['Replace Null values']
If field value is null,IfNull,,['Replace Null values'],['Convert email_address to MD5 hash value']
Select values,SelectValues,,['Insert into wt_email_d'],['Execute SQL script']
Text file output,TextFileOutput,,['Convert email_address to MD5 hash value'],['Mail Validator']
Convert email_address to MD5 hash value,CheckSum,,['Mail Validator'],['Replace in string']
Execute SQL script,ExecSQL,"SET @email_validStream = '?';
SET @email_authStream = '?';

UPDATE wt_email_d
	SET email_valid = IF(@email_validStream = 'N',@email_validStream,email_valid),
	email_auth = IF(@email_authStream = 'N',@email_authStream,email_auth)
WHERE email_address = '?'",['Replace in string'],['Select values']
Get staged data,TableInput,"SELECT DISTINCT 
	 email_address
	,MIN(email_auth) AS email_auth
	,MIN(email_valid) AS email_valid
    ,domain
	,canadian_flg
    ,0 AS deliverable_ind
    ,'CDS' AS email_source
FROM 
     lt_servpf_email_stg
GROUP BY email_address, domain, canadian_flg ",['Select values'],['Insert into wt_email_d']
Insert into wt_email_d,TableOutput,,['Get email_individual_bridge filenames'],['Write to log']
Mail Validator,MailValidator,,['Write to log'],['Copy rows to result']
Replace Null values,IfNull,,['Get email_SPF_fact filenames'],['Write to log']
Replace in string,ReplaceString,,['Write to log'],['Copy rows to result']
Select values,SelectValues,,['Get staged data'],['Convert email_address to MD5 hash value']
Copy rows to result,RowsToResult,,['Convert email_address to MD5 hash value'],['Mail Validator']
Get email_individual_bridge filenames,GetFileNames,,['Mail Validator'],['Select values']
Write to log,WriteToLog,,['Select values'],['write_email_record']
Copy rows to result,RowsToResult,,['Get Data from DL'],['Text file output']
Get email_SPF_fact filenames,GetFileNames,,['Get Data from DL'],['Replace Null values']
Write to log,WriteToLog,,['Replace Null values'],['Select columns comes from DL']
Convert email_address to MD5 hash value,CheckSum,,['Select columns comes from DL'],['Update wt_actual_ship_method_d']
Get staged data,TableInput,"SELECT DISTINCT 
     email_address
    ,email_auth
    ,domain
    ,canadian_flg
    ,0 AS deliverable_ind
    ,email_source
FROM
     lt_servpf_email_stg
WHERE email_address NOT IN (SELECT email_address FROM ${database}.wt_email_d)",['Update wt_actual_ship_method_d'],['Insert into wt_actual_ship_method_d']
Mail Validator,MailValidator,,['Get Data from lt_ancillary_charges'],['Replace Null values']
Select values,SelectValues,,['Replace Null values'],['Select columns comes from athena']
write_email_record,TextFileOutput,,['Select columns comes from athena'],['Update wt_ancillary_charges_d']
Get Data from DL,TableInput,"SELECT	
DISTINCT
	 email_address
	,'N' AS email_auth
	,split(email_address, '@')[1] AS domain
	,(CASE 
		WHEN SUBSTR(split(email_address, '@')[1], -2) = 'ca'
			THEN 'Y'
		ELSE 'N'
		END) canadian_flg
    ,'CDS' AS email_source
	,update_dt
FROM 
     lt_servpf_email
WHERE 
        email_thru_dt = '2099-12-31'
	AND 
		update_dt > '${update_date}'
	AND 
		publisher_cd ${clientcodes} AND LENGTH(email_address) > 0",['Update wt_ancillary_charges_d'],['Insert into wt_ancillary_charges_d']
Text file output,TextFileOutput,,['Get Data from lt_announcement_status'],['Replace Null values']
Get Data from DL,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM lt_actual_ship_method",['Replace Null values'],['Select columns comes from athena']
Insert into wt_actual_ship_method_d,TableOutput,,['Select columns comes from athena'],['Update wt_announcement_status_d']
Replace Null values,IfNull,,['Update wt_announcement_status_d'],['Insert into wt_announcement_status_d']
Select columns comes from DL,SelectValues,,['Get Data from lt_application'],['Replace Null values']
Update wt_actual_ship_method_d,Update,,['Replace Null values'],['Select columns comes from athena']
Get Data from lt_ancillary_charges,TableInput,"SELECT
   TRIM(source_system_cd) AS source_system_cd
  ,TRIM(table_name) AS table_name
  ,TRIM(system_field_name) AS system_field_name
  ,IF(system_cd=' ', system_cd, TRIM(system_cd)) AS system_cd
  ,TRIM(system_name) AS system_name
  ,TRIM(system_desc) AS system_desc
  ,TRIM(modified_by) AS modified_by
  ,TRIM(modified_dt) AS modified_dt
FROM hrst_data.lt_ancillary_charges",['Select columns comes from athena'],['Update wt_application_d']
Insert into wt_ancillary_charges_d,TableOutput,,['Update wt_application_d'],['Insert into wt_application_d']
Replace Null values,IfNull,,['Get Data from lt_availability_code'],['Replace Null values']
Select columns comes from athena,SelectValues,,['Replace Null values'],['Select columns comes from athena']
